"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 11, 2011","0.45","0.45","0.45","0.44","5.62M","0.00%"
"Jan 10, 2011","0.45","0.45","0.45","0.45","11.17M","0.00%"
"Jan 07, 2011","0.45","0.45","0.46","0.44","35.08M","0.00%"
"Jan 06, 2011","0.45","0.43","0.45","0.43","18.04M","4.65%"
"Jan 05, 2011","0.43","0.43","0.43","0.42","8.74M","0.00%"
"Jan 04, 2011","0.43","0.42","0.43","0.42","8.86M","2.38%"
"Jan 03, 2011","0.42","0.41","0.42","0.41","14.06M","2.44%"
"Dec 30, 2010","0.41","0.42","0.42","0.41","9.93M","0.00%"
"Dec 29, 2010","0.41","0.42","0.42","0.41","15.83M","-2.38%"
"Dec 28, 2010","0.42","0.42","0.42","0.41","7.71M","0.00%"
"Dec 27, 2010","0.42","0.42","0.42","0.41","17.77M","0.00%"
"Dec 24, 2010","0.42","0.42","0.42","0.41","22.25M","0.00%"
"Dec 23, 2010","0.42","0.41","0.43","0.41","80.30M","2.44%"
"Dec 22, 2010","0.41","0.42","0.42","0.41","21.90M","-2.38%"
"Dec 21, 2010","0.42","0.42","0.42","0.42","30.69M","0.00%"
"Dec 20, 2010","0.42","0.42","0.42","0.42","33.55M","2.44%"
"Dec 17, 2010","0.41","0.43","0.43","0.41","152.84M","-4.65%"
"Dec 16, 2010","0.43","0.45","0.45","0.43","55.37M","-4.44%"
"Dec 15, 2010","0.45","0.46","0.46","0.45","21.87M","-2.17%"
"Dec 14, 2010","0.46","0.46","0.46","0.46","14.04M","0.00%"
"Dec 13, 2010","0.46","0.46","0.46","0.46","5.09M","0.00%"
"Dec 10, 2010","0.46","0.46","0.46","0.46","24.66M","0.00%"
"Dec 09, 2010","0.46","0.45","0.46","0.45","28.67M","2.22%"
"Dec 08, 2010","0.45","0.47","0.47","0.44","38.59M","-2.17%"
"Dec 06, 2010","0.46","0.47","0.47","0.46","17.86M","-2.13%"
"Dec 03, 2010","0.47","0.48","0.48","0.46","5.07M","-2.08%"
"Dec 02, 2010","0.48","0.48","0.48","0.48","7.59M","0.00%"
"Dec 01, 2010","0.48","0.47","0.48","0.47","5.23M","2.13%"
"Nov 30, 2010","0.47","0.47","0.47","0.47","9.83M","0.00%"
"Nov 29, 2010","0.47","0.48","0.48","0.47","2.67M","-2.08%"
"Nov 26, 2010","0.48","0.47","0.48","0.47","12.94M","0.00%"
"Nov 25, 2010","0.48","0.48","0.48","0.48","21.61M","2.13%"
"Nov 24, 2010","0.47","0.46","0.47","0.46","7.15M","0.00%"
"Nov 23, 2010","0.47","0.48","0.48","0.47","6.82M","-2.08%"
"Nov 22, 2010","0.48","0.48","0.48","0.48","15.39M","0.00%"
"Nov 19, 2010","0.48","0.46","0.48","0.46","20.18M","4.35%"
"Nov 18, 2010","0.46","0.47","0.47","0.45","14.09M","0.00%"
"Nov 16, 2010","0.46","0.45","0.46","0.45","19.91M","2.22%"
"Nov 15, 2010","0.45","0.46","0.46","0.45","4.26M","-2.17%"
"Nov 12, 2010","0.46","0.47","0.47","0.45","10.12M","-2.13%"
"Nov 11, 2010","0.47","0.48","0.48","0.47","6.81M","-2.08%"
"Nov 10, 2010","0.48","0.48","0.48","0.47","31.87M","0.00%"
"Nov 09, 2010","0.48","0.48","0.48","0.48","20.76M","0.00%"
"Nov 08, 2010","0.48","0.48","0.49","0.48","16.90M","0.00%"
"Nov 04, 2010","0.48","0.47","0.48","0.46","25.79M","2.13%"
"Nov 03, 2010","0.47","0.46","0.47","0.46","8.11M","2.17%"
"Nov 02, 2010","0.46","0.45","0.46","0.45","9.30M","2.22%"
"Nov 01, 2010","0.45","0.46","0.47","0.45","8.06M","-2.17%"
"Oct 29, 2010","0.46","0.46","0.46","0.45","26.03M","0.00%"
"Oct 28, 2010","0.46","0.47","0.47","0.45","17.37M","-2.13%"
"Oct 27, 2010","0.47","0.47","0.47","0.47","7.10M","0.00%"
"Oct 26, 2010","0.47","0.47","0.47","0.47","18.06M","-2.08%"
"Oct 25, 2010","0.48","0.48","0.48","0.47","12.80M","2.13%"
"Oct 22, 2010","0.47","0.48","0.48","0.47","22.00M","-2.08%"
"Oct 21, 2010","0.48","0.48","0.48","0.47","25.21M","2.13%"
"Oct 20, 2010","0.47","0.47","0.48","0.46","34.08M","0.00%"
"Oct 19, 2010","0.47","0.46","0.47","0.46","17.18M","2.17%"
"Oct 18, 2010","0.46","0.45","0.46","0.45","6.09M","2.22%"
"Oct 15, 2010","0.45","0.46","0.46","0.45","35.42M","-2.17%"
"Oct 14, 2010","0.46","0.48","0.49","0.46","20.25M","-4.17%"
"Oct 13, 2010","0.48","0.47","0.48","0.47","11.50M","2.13%"
"Oct 12, 2010","0.47","0.46","0.47","0.46","15.75M","2.17%"
"Oct 11, 2010","0.46","0.46","0.47","0.45","14.94M","2.22%"
"Oct 08, 2010","0.45","0.46","0.46","0.45","12.99M","-2.17%"
"Oct 07, 2010","0.46","0.47","0.48","0.46","23.16M","-2.13%"
"Oct 06, 2010","0.47","0.47","0.49","0.47","60.54M","0.00%"
"Oct 05, 2010","0.47","0.47","0.47","0.46","32.67M","0.00%"
"Oct 04, 2010","0.47","0.45","0.47","0.45","47.74M","6.82%"
"Oct 01, 2010","0.44","0.43","0.45","0.43","47.86M","2.33%"
"Sep 30, 2010","0.43","0.44","0.44","0.43","16.66M","-2.27%"
"Sep 29, 2010","0.44","0.44","0.44","0.43","22.45M","0.00%"
"Sep 28, 2010","0.44","0.44","0.44","0.43","13.23M","0.00%"
"Sep 27, 2010","0.44","0.44","0.45","0.44","27.71M","0.00%"
"Sep 24, 2010","0.44","0.42","0.44","0.42","29.29M","4.76%"
"Sep 23, 2010","0.42","0.44","0.44","0.41","136.12M","-4.55%"
"Sep 22, 2010","0.44","0.46","0.47","0.44","50.74M","-4.35%"
"Sep 21, 2010","0.46","0.48","0.48","0.46","46.32M","-4.17%"
"Sep 20, 2010","0.48","0.49","0.50","0.48","18.96M","-2.04%"
"Sep 17, 2010","0.49","0.50","0.50","0.48","19.34M","-2.00%"
"Sep 15, 2010","0.50","0.50","0.50","0.49","9.44M","0.00%"
"Sep 14, 2010","0.50","0.50","0.51","0.50","19.05M","0.00%"
"Sep 13, 2010","0.50","0.47","0.50","0.47","47.85M","6.38%"
"Sep 09, 2010","0.47","0.46","0.47","0.46","30.65M","2.17%"
"Sep 08, 2010","0.46","0.48","0.48","0.46","44.73M","-6.12%"
"Sep 07, 2010","0.49","0.50","0.50","0.48","14.48M","-2.00%"
"Sep 06, 2010","0.50","0.50","0.50","0.50","6.03M","0.00%"
"Sep 03, 2010","0.50","0.51","0.51","0.50","17.51M","-1.96%"
"Sep 02, 2010","0.51","0.51","0.51","0.50","20.08M","0.00%"
"Sep 01, 2010","0.51","0.51","0.51","0.50","5.57M","2.00%"
"Aug 30, 2010","0.50","0.51","0.52","0.50","8.42M","-1.96%"
"Aug 27, 2010","0.51","0.52","0.52","0.51","6.01M","-1.92%"
"Aug 26, 2010","0.52","0.50","0.52","0.50","17.28M","4.00%"
"Aug 25, 2010","0.50","0.51","0.51","0.50","12.74M","-1.96%"
"Aug 24, 2010","0.51","0.50","0.51","0.50","18.87M","2.00%"
"Aug 23, 2010","0.50","0.50","0.52","0.50","16.08M","0.00%"
"Aug 20, 2010","0.50","0.51","0.51","0.50","6.03M","-1.96%"
"Aug 19, 2010","0.51","0.51","0.51","0.50","18.49M","0.00%"
"Aug 18, 2010","0.51","0.51","0.51","0.51","13.68M","0.00%"
"Aug 17, 2010","0.51","0.51","0.52","0.51","16.94M","0.00%"
"Aug 16, 2010","0.51","0.51","0.52","0.51","18.32M","0.00%"
"Aug 13, 2010","0.51","0.51","0.52","0.51","29.78M","0.00%"
"Aug 12, 2010","0.51","0.51","0.52","0.51","19.46M","-1.92%"
"Aug 11, 2010","0.52","0.53","0.53","0.51","22.26M","-1.89%"
"Aug 10, 2010","0.53","0.51","0.53","0.50","30.64M","3.92%"
"Aug 09, 2010","0.51","0.52","0.52","0.51","37.59M","-1.92%"
"Aug 06, 2010","0.52","0.54","0.54","0.52","62.99M","-3.70%"
"Aug 05, 2010","0.54","0.55","0.55","0.54","26.91M","-1.82%"
"Aug 04, 2010","0.55","0.55","0.56","0.55","18.11M","0.00%"
"Aug 03, 2010","0.55","0.55","0.55","0.55","43.65M","1.85%"
"Aug 02, 2010","0.54","0.56","0.56","0.54","15.86M","-1.82%"
"Jul 30, 2010","0.55","0.56","0.56","0.55","19.55M","-1.79%"
"Jul 29, 2010","0.56","0.55","0.56","0.54","35.68M","1.82%"
"Jul 28, 2010","0.55","0.55","0.55","0.54","62.85M","1.85%"
"Jul 27, 2010","0.54","0.56","0.56","0.54","76.04M","-3.57%"
"Jul 26, 2010","0.56","0.57","0.57","0.56","26.22M","0.00%"
"Jul 23, 2010","0.56","0.57","0.57","0.56","24.04M","0.00%"
"Jul 22, 2010","0.56","0.56","0.56","0.56","43.86M","-1.75%"
"Jul 21, 2010","0.57","0.57","0.58","0.55","47.19M","0.00%"
"Jul 20, 2010","0.57","0.59","0.60","0.57","36.88M","-3.39%"
"Jul 19, 2010","0.59","0.60","0.60","0.58","27.68M","-1.67%"
"Jul 16, 2010","0.60","0.61","0.61","0.60","44.80M","0.00%"
"Jul 15, 2010","0.60","0.60","0.60","0.60","24.66M","0.00%"
"Jul 14, 2010","0.60","0.59","0.60","0.59","17.45M","1.69%"
"Jul 13, 2010","0.59","0.59","0.59","0.58","10.23M","1.72%"
"Jul 12, 2010","0.58","0.57","0.59","0.57","23.85M","1.75%"
"Jul 09, 2010","0.57","0.57","0.58","0.57","24.16M","0.00%"
"Jul 08, 2010","0.57","0.56","0.57","0.56","12.28M","1.79%"
"Jul 07, 2010","0.56","0.57","0.57","0.56","19.31M","-1.75%"
"Jul 06, 2010","0.57","0.57","0.57","0.57","8.84M","0.00%"
"Jul 05, 2010","0.57","0.57","0.57","0.57","11.93M","0.00%"
"Jul 02, 2010","0.57","0.57","0.57","0.57","5.95M","0.00%"
